customerID,gender,SeniorCitizen,tenure,Contract,PaymentMethod,InternetService,TechSupport,OnlineSecurity,MonthlyCharges,TotalCharges,Churn
8884-ADFVN,Male,1,7,Month-to-month,Electronic check,Fiber optic,No,No,101.95,700.85,Yes
0702-PGIBZ,Male,0,4,Month-to-month,Electronic check,Fiber optic,No,No,101.7,364.55,Yes
5299-SJCZT,Male,0,3,Month-to-month,Bank transfer (automatic),Fiber optic,No,No,101.55,298.35,Yes
8118-TJAFG,Male,0,9,Month-to-month,Electronic check,Fiber optic,Yes,No,101.5,906.85,No
5419-JPRRN,Male,0,1,Month-to-month,Electronic check,Fiber optic,No,No,101.45,101.45,Yes
7234-FECYN,Female,1,8,Month-to-month,Electronic check,Fiber optic,No,No,101.35,780.5,Yes
0880-TKATG,Male,0,4,Month-to-month,Electronic check,Fiber optic,No,No,101.15,385.9,Yes
0302-JOIVN,Female,0,8,Month-to-month,Electronic check,Fiber optic,No,No,101.15,842.9,Yes
6023-YEBUP,Male,0,3,Month-to-month,Electronic check,Fiber optic,No,No,100.95,329.95,Yes
4132-KALRO,Female,0,4,Month-to-month,Mailed check,Fiber optic,Yes,No,100.85,399.25,No
6326-MTTXK,Male,0,8,Month-to-month,Electronic check,Fiber optic,No,No,100.85,819.55,Yes
7216-EWTRS,Female,1,1,Month-to-month,Electronic check,Fiber optic,No,No,100.8,100.8,Yes
4078-SAYYN,Female,0,11,Month-to-month,Electronic check,Fiber optic,No,No,100.75,1129.75,Yes
4822-RVYBB,Male,1,8,Month-to-month,Electronic check,Fiber optic,No,No,100.6,819.4,Yes
2968-SSGAA,Female,0,10,Month-to-month,Electronic check,Fiber optic,No,No,100.6,1060.2,Yes
9681-OXGVC,Female,0,5,Month-to-month,Electronic check,Fiber optic,No,No,100.5,514.0,Yes
0781-LKXBR,Male,1,9,Month-to-month,Electronic check,Fiber optic,No,No,100.5,918.6,Yes
0722-SVSFK,Female,0,7,Month-to-month,Electronic check,Fiber optic,Yes,No,100.4,715.0,No
9889-TMAHG,Male,1,8,Month-to-month,Credit card (automatic),Fiber optic,Yes,Yes,100.3,832.35,Yes
3178-FESZO,Female,0,1,Month-to-month,Credit card (automatic),Fiber optic,No,No,100.25,100.25,Yes
5299-RULOA,Female,0,10,Month-to-month,Electronic check,Fiber optic,No,Yes,100.25,1064.65,Yes
7379-FNIUJ,Male,0,2,Month-to-month,Electronic check,Fiber optic,No,Yes,100.2,198.5,No
2656-TABEH,Male,0,4,Month-to-month,Electronic check,Fiber optic,No,No,100.2,420.2,Yes
2754-SDJRD,Female,1,8,Month-to-month,Credit card (automatic),Fiber optic,Yes,No,100.15,908.55,No
3440-JPSCL,Female,0,6,Month-to-month,Mailed check,Fiber optic,Yes,No,99.95,547.65,Yes
8443-WVPSS,Male,0,10,Month-to-month,Electronic check,Fiber optic,Yes,No,99.85,990.9,Yes
5419-CONWX,Female,1,4,Month-to-month,Credit card (automatic),Fiber optic,No,No,99.8,442.85,Yes
3811-VBYBZ,Male,0,7,Month-to-month,Electronic check,Fiber optic,No,No,99.8,673.25,Yes
0107-YHINA,Male,0,1,Month-to-month,Electronic check,Fiber optic,No,No,99.75,99.75,Yes
9305-CDSKC,Female,0,8,Month-to-month,Electronic check,Fiber optic,No,No,99.65,820.5,Yes
2265-CYWIV,Female,1,4,Month-to-month,Electronic check,Fiber optic,No,Yes,99.6,347.65,Yes
2012-NWRPA,Female,1,11,Month-to-month,Electronic check,Fiber optic,No,No,99.55,1131.2,Yes
0897-FEGMU,Female,0,11,Month-to-month,Electronic check,Fiber optic,No,No,99.5,1056.95,Yes
6210-KBBPI,Male,1,9,Month-to-month,Credit card (automatic),Fiber optic,No,No,99.45,919.4,Yes
4445-ZJNMU,Male,0,9,Month-to-month,Credit card (automatic),Fiber optic,No,No,99.3,918.75,No
6861-XWTWQ,Male,1,7,Month-to-month,Electronic check,Fiber optic,No,No,99.25,665.45,Yes
4236-XPXAV,Female,0,5,Month-to-month,Mailed check,Fiber optic,Yes,No,99.15,465.05,Yes
6956-SMUCM,Female,0,3,Month-to-month,Credit card (automatic),Fiber optic,No,Yes,99.0,287.4,Yes
7938-OUHIO,Male,0,3,Month-to-month,Electronic check,Fiber optic,Yes,No,98.7,293.65,Yes
9172-ANCRX,Female,0,10,Month-to-month,Electronic check,Fiber optic,No,Yes,98.7,973.25,Yes
5138-WVKYJ,Male,0,10,Month-to-month,Electronic check,Fiber optic,No,Yes,98.55,1008.55,Yes
1450-GALXR,Female,0,10,Month-to-month,Electronic check,Fiber optic,Yes,No,98.5,1058.25,Yes
1455-UGQVH,Male,0,10,Month-to-month,Electronic check,Fiber optic,No,No,98.5,1037.75,Yes
9734-YWGEX,Female,0,9,Month-to-month,Credit card (automatic),Fiber optic,No,No,98.3,923.5,Yes
2446-BEGGB,Female,1,6,Month-to-month,Electronic check,Fiber optic,No,No,98.25,560.6,Yes
2506-CLAKW,Female,0,6,Month-to-month,Bank transfer (automatic),Fiber optic,Yes,Yes,98.15,567.45,Yes
7295-JOMMD,Female,0,4,Month-to-month,Bank transfer (automatic),Fiber optic,Yes,No,98.1,396.3,Yes
0655-RBDUG,Male,0,7,Month-to-month,Bank transfer (automatic),Fiber optic,No,No,98.05,713.0,Yes
6108-OQZDQ,Female,0,4,Month-to-month,Electronic check,Fiber optic,No,No,97.95,384.5,Yes
0329-GTIAJ,Female,0,3,Month-to-month,Electronic check,Fiber optic,Yes,No,97.9,315.3,Yes
8168-UQWWF,Female,0,11,Month-to-month,Bank transfer (automatic),Fiber optic,No,No,97.85,1105.4,Yes
6645-MXQJT,Male,0,2,Month-to-month,Electronic check,Fiber optic,No,Yes,97.1,184.15,No
9057-SIHCH,Female,0,3,Month-to-month,Electronic check,Fiber optic,No,No,96.6,291.9,Yes
4566-NECEV,Male,0,5,Month-to-month,Electronic check,Fiber optic,No,No,96.55,500.1,No
1010-DIAUQ,Male,0,5,Month-to-month,Bank transfer (automatic),Fiber optic,No,No,96.5,492.55,Yes
7548-SEPYI,Female,0,5,Month-to-month,Electronic check,Fiber optic,No,No,96.25,512.45,Yes
4060-LDNLU,Male,0,7,Month-to-month,Electronic check,Fiber optic,No,No,96.2,639.7,No
3737-GCSPV,Female,0,11,Month-to-month,Credit card (automatic),Fiber optic,Yes,Yes,96.2,1222.05,Yes
0306-JAELE,Male,0,5,Month-to-month,Electronic check,Fiber optic,Yes,No,96.1,453.4,Yes
3158-MOERK,Female,0,2,Month-to-month,Electronic check,Fiber optic,No,No,96.0,174.8,Yes
7426-RHZGU,Male,0,9,Month-to-month,Bank transfer (automatic),Fiber optic,Yes,No,95.9,827.45,No
1393-IMKZG,Female,0,1,Month-to-month,Electronic check,Fiber optic,Yes,No,95.85,95.85,No
0754-UKWQP,Male,0,2,Month-to-month,Electronic check,Fiber optic,No,No,95.85,197.7,Yes
3319-DWOEP,Male,1,6,Month-to-month,Electronic check,Fiber optic,No,No,95.75,573.75,Yes
6857-VWJDT,Female,0,1,Month-to-month,Mailed check,Fiber optic,No,No,95.65,95.65,Yes
8413-VONUO,Male,0,2,Month-to-month,Electronic check,Fiber optic,No,No,95.65,167.3,Yes
3585-ISXZP,Female,0,8,Month-to-month,Bank transfer (automatic),Fiber optic,No,No,95.65,778.1,Yes
6356-ELRKD,Female,0,1,Month-to-month,Electronic check,Fiber optic,No,Yes,95.6,95.6,Yes
3643-AHCFP,Male,1,7,Month-to-month,Bank transfer (automatic),Fiber optic,No,No,95.6,644.35,Yes
4929-XIHVW,Male,1,2,Month-to-month,Credit card (automatic),Fiber optic,No,No,95.5,181.65,No
0564-JJHGS,Male,0,9,Month-to-month,Electronic check,Fiber optic,No,No,95.5,829.1,Yes
0295-PPHDO,Male,0,1,Month-to-month,Electronic check,Fiber optic,No,No,95.45,95.45,Yes
8098-LLAZX,Female,1,4,Month-to-month,Electronic check,Fiber optic,No,No,95.45,396.1,Yes
2984-AFWNC,Female,0,3,Month-to-month,Electronic check,Fiber optic,No,No,95.4,293.15,No
8357-EQXFO,Female,0,7,Month-to-month,Electronic check,Fiber optic,No,No,95.35,660.9,Yes
2660-EMUBI,Male,1,10,Month-to-month,Electronic check,Fiber optic,No,No,95.35,898.35,Yes
1960-UYCNN,Male,0,10,Month-to-month,Electronic check,Fiber optic,No,No,95.25,1021.55,No
3049-SOLAY,Female,0,3,Month-to-month,Electronic check,Fiber optic,No,No,95.2,292.85,Yes
2754-VDLTR,Male,0,10,Month-to-month,Electronic check,Fiber optic,No,No,95.2,930.4,Yes
7851-WZEKY,Female,0,2,Month-to-month,Electronic check,Fiber optic,No,No,95.15,196.9,Yes
6328-ZPBGN,Female,1,11,Month-to-month,Bank transfer (automatic),Fiber optic,No,No,95.15,997.65,Yes
5178-LMXOP,Male,1,1,Month-to-month,Electronic check,Fiber optic,No,No,95.1,95.1,Yes
5649-ANRML,Male,1,2,Month-to-month,Credit card (automatic),Fiber optic,Yes,No,95.1,180.25,Yes
9944-HKVVB,Female,0,3,Month-to-month,Electronic check,Fiber optic,No,No,95.1,307.4,Yes
5183-SNMJQ,Male,0,10,Month-to-month,Credit card (automatic),Fiber optic,Yes,No,95.1,865.1,No
0684-AOSIH,Male,0,1,Month-to-month,Electronic check,Fiber optic,No,Yes,95.0,95.0,Yes
3874-EQOEP,Male,0,7,Month-to-month,Mailed check,Fiber optic,No,No,95.0,655.5,Yes
0094-OIFMO,Female,1,11,Month-to-month,Electronic check,Fiber optic,No,No,95.0,1120.3,Yes
5349-IECLD,Male,0,2,Month-to-month,Electronic check,Fiber optic,No,No,94.95,178.1,Yes
7398-SKNQZ,Female,0,3,Month-to-month,Electronic check,Fiber optic,No,No,94.9,273.2,No
9714-EDSUC,Male,0,4,Month-to-month,Mailed check,Fiber optic,Yes,Yes,94.9,360.55,No
7209-JCUDS,Male,0,10,Month-to-month,Electronic check,Fiber optic,No,No,94.9,1048.85,Yes
5150-ITWWB,Male,1,3,Month-to-month,Electronic check,Fiber optic,No,No,94.85,335.75,No
3387-VATUS,Male,0,5,Month-to-month,Bank transfer (automatic),Fiber optic,No,No,94.85,462.8,Yes
2344-JMOGN,Male,0,9,Month-to-month,Mailed check,Fiber optic,Yes,No,94.85,890.6,Yes
3045-XETSH,Female,0,10,Month-to-month,Electronic check,Fiber optic,No,No,94.85,953.45,Yes
6350-XFYGW,Male,1,4,Month-to-month,Electronic check,Fiber optic,No,No,94.75,422.4,No
5168-MSWXT,Male,0,8,Month-to-month,Electronic check,Fiber optic,No,No,94.75,759.55,No
7943-RQCHR,Female,0,9,Month-to-month,Electronic check,Fiber optic,No,No,94.75,889.9,Yes
6502-HCJTI,Male,1,7,Month-to-month,Credit card (automatic),Fiber optic,No,Yes,94.7,673.1,Yes
0325-XBFAC,Male,0,8,Month-to-month,Electronic check,Fiber optic,No,No,94.7,740.3,Yes
4910-GMJOT,Female,0,1,Month-to-month,Electronic check,Fiber optic,No,No,94.6,94.6,Yes
5567-WSELE,Male,1,3,Month-to-month,Electronic check,Fiber optic,No,No,94.6,279.55,Yes
6101-IMRMM,Male,0,6,Month-to-month,Mailed check,Fiber optic,No,No,94.5,575.45,Yes
4192-GORJT,Male,0,5,Month-to-month,Electronic check,Fiber optic,No,No,94.45,498.1,Yes
3217-FZDMN,Female,1,8,Month-to-month,Credit card (automatic),Fiber optic,No,No,94.45,742.95,Yes
9223-UCPVT,Female,0,1,Month-to-month,Electronic check,Fiber optic,No,No,94.4,94.4,Yes
9763-PDTKK,Female,0,4,Month-to-month,Bank transfer (automatic),Fiber optic,Yes,Yes,94.4,387.2,Yes
5698-BQJOH,Female,0,9,Month-to-month,Electronic check,Fiber optic,No,No,94.4,857.25,Yes
1374-DMZUI,Female,1,4,Month-to-month,Electronic check,Fiber optic,No,No,94.3,424.45,Yes
2645-QTLMB,Male,0,7,Month-to-month,Electronic check,Fiber optic,No,No,94.25,669.0,Yes
7218-HKQFK,Male,0,2,Month-to-month,Electronic check,Fiber optic,Yes,No,94.2,167.5,Yes
3006-XIMLN,Female,0,2,Month-to-month,Bank transfer (automatic),Fiber optic,No,No,94.2,193.8,Yes
2929-ERCFZ,Female,0,8,Month-to-month,Electronic check,Fiber optic,No,No,94.2,777.3,Yes
9093-FPDLG,Female,0,11,Month-to-month,Electronic check,Fiber optic,Yes,No,94.2,999.9,No
8161-QYMTT,Male,0,7,Month-to-month,Electronic check,Fiber optic,No,No,94.1,701.3,No
6137-NICCO,Female,0,6,Month-to-month,Mailed check,Fiber optic,No,No,94.05,518.75,No
8087-LGYHQ,Male,0,9,Month-to-month,Electronic check,Fiber optic,No,No,94.05,811.65,No
9300-AGZNL,Male,1,1,Month-to-month,Electronic check,Fiber optic,No,No,94.0,94.0,Yes
2720-WGKHP,Male,1,2,Month-to-month,Electronic check,Fiber optic,No,No,94.0,181.7,Yes
1567-DSCIC,Male,0,8,Month-to-month,Electronic check,Fiber optic,No,No,94.0,773.65,Yes
2982-VPSGI,Female,0,11,Month-to-month,Electronic check,Fiber optic,No,No,94.0,1078.9,Yes
5380-AFSSK,Female,0,5,Month-to-month,Mailed check,Fiber optic,No,No,93.9,486.85,Yes
8149-RSOUN,Female,0,1,Month-to-month,Electronic check,Fiber optic,No,No,93.85,93.85,Yes
7024-OHCCK,Female,1,2,Month-to-month,Electronic check,Fiber optic,No,No,93.85,170.85,Yes
4424-TKOPW,Male,1,2,Month-to-month,Electronic check,Fiber optic,No,No,93.85,196.75,Yes
4626-GYCZP,Male,0,7,Month-to-month,Electronic check,Fiber optic,No,No,93.85,635.6,Yes
9497-QCMMS,Male,1,1,Month-to-month,Electronic check,Fiber optic,No,No,93.55,93.55,Yes
9025-AOMKI,Female,0,6,Month-to-month,Bank transfer (automatic),Fiber optic,No,No,93.55,536.4,Yes
1731-TVIUK,Female,0,4,Month-to-month,Electronic check,Fiber optic,Yes,No,93.5,362.2,Yes
6521-YYTYI,Male,0,1,Month-to-month,Electronic check,Fiber optic,No,No,93.3,93.3,Yes
5141-ZUVBH,Female,0,9,Month-to-month,Bank transfer (automatic),Fiber optic,Yes,Yes,93.0,870.25,No
2462-XIIJB,Male,0,5,Month-to-month,Electronic check,Fiber optic,No,No,92.5,452.7,Yes
5747-PMBSQ,Male,1,10,Month-to-month,Mailed check,Fiber optic,Yes,No,92.5,934.1,Yes
4145-UQXUQ,Female,1,8,Month-to-month,Electronic check,Fiber optic,No,No,92.1,729.95,Yes
3318-NMQXL,Male,0,3,Month-to-month,Electronic check,Fiber optic,No,No,92.0,266.8,No
5442-UTCVD,Male,0,3,Month-to-month,Electronic check,Fiber optic,No,No,91.85,257.05,Yes
9940-HPQPG,Female,0,9,Month-to-month,Bank transfer (automatic),Fiber optic,No,Yes,91.75,865.8,Yes
3186-BAXNB,Female,0,1,Month-to-month,Electronic check,Fiber optic,Yes,No,91.7,91.7,Yes
6892-EZDTG,Female,0,4,Month-to-month,Electronic check,Fiber optic,No,No,91.65,365.4,Yes
5095-AESKG,Female,0,3,Month-to-month,Credit card (automatic),Fiber optic,No,No,91.5,242.95,Yes
4927-WWOOZ,Male,0,2,Month-to-month,Electronic check,Fiber optic,No,No,91.45,171.45,No
9546-CQJSU,Female,0,2,Month-to-month,Electronic check,Fiber optic,No,No,91.4,193.6,Yes
8414-MYSHR,Male,1,5,Month-to-month,Electronic check,Fiber optic,No,No,91.4,449.75,Yes
3988-RQIXO,Female,1,1,Month-to-month,Electronic check,Fiber optic,No,No,91.3,91.3,Yes
5091-HFAZW,Female,0,2,Month-to-month,Electronic check,Fiber optic,No,Yes,91.15,168.5,No
2672-HUYVI,Female,0,6,Month-to-month,Electronic check,Fiber optic,No,No,91.1,455.3,Yes
6818-DJXAA,Female,0,10,Month-to-month,Electronic check,Fiber optic,Yes,No,91.1,964.35,No
1389-CXMLU,Male,1,3,Month-to-month,Electronic check,Fiber optic,No,No,91.05,289.1,Yes
2472-OVKUP,Male,0,6,Month-to-month,Electronic check,Fiber optic,No,No,91.0,531.0,Yes
5167-ZFFMM,Male,0,1,Month-to-month,Credit card (automatic),Fiber optic,No,No,90.85,90.85,Yes
9725-SCPZG,Male,0,1,Month-to-month,Electronic check,Fiber optic,No,No,90.85,90.85,Yes
7330-WZLNC,Female,0,5,Month-to-month,Electronic check,Fiber optic,No,No,90.8,455.5,Yes
9846-GKXAS,Female,0,9,Month-to-month,Bank transfer (automatic),Fiber optic,No,No,90.8,809.75,Yes
2725-KXXWT,Male,0,1,Month-to-month,Electronic check,Fiber optic,No,No,90.75,90.75,Yes
4137-BTIKL,Male,0,2,Month-to-month,Mailed check,Fiber optic,No,Yes,90.75,174.75,No
8622-ZLFKO,Female,0,6,Month-to-month,Electronic check,Fiber optic,No,No,90.75,512.25,No
0432-CAJZV,Male,0,3,Month-to-month,Mailed check,Fiber optic,No,No,90.7,237.65,No
5339-PXDVH,Male,0,4,Month-to-month,Electronic check,Fiber optic,No,Yes,90.65,367.95,No
5797-APWZC,Female,0,1,Month-to-month,Electronic check,Fiber optic,No,No,90.6,90.6,Yes
8775-LHDJH,Female,1,1,Month-to-month,Electronic check,Fiber optic,No,No,90.6,90.6,Yes
7928-VJYAB,Male,0,11,Month-to-month,Electronic check,Fiber optic,No,No,90.6,1020.2,No
7294-TMAOP,Female,0,1,Month-to-month,Electronic check,Fiber optic,No,No,90.55,90.55,Yes
7274-RTAPZ,Male,0,1,Month-to-month,Electronic check,Fiber optic,No,No,90.55,90.55,Yes
1579-KLYDT,Male,0,7,Month-to-month,Electronic check,Fiber optic,No,No,90.45,593.45,Yes
2034-GDRCN,Female,0,2,Month-to-month,Electronic check,Fiber optic,No,No,90.4,168.2,Yes
0258-NOKBL,Male,0,3,Month-to-month,Electronic check,Fiber optic,No,No,90.4,268.45,No
8266-VBFQL,Male,0,4,Month-to-month,Electronic check,Fiber optic,Yes,No,90.4,356.65,No
0139-IVFJG,Female,0,2,Month-to-month,Electronic check,Fiber optic,No,Yes,90.35,190.5,No
8212-DJRCH,Male,0,5,Month-to-month,Mailed check,Fiber optic,No,Yes,90.35,434.5,No
4813-HQMGZ,Female,0,8,Month-to-month,Electronic check,Fiber optic,Yes,No,90.25,743.75,No
7321-PKUYW,Female,0,11,Month-to-month,Electronic check,Fiber optic,Yes,No,90.15,987.95,Yes
1941-HOSAM,Male,0,1,Month-to-month,Electronic check,Fiber optic,No,No,90.1,90.1,No
8780-IXSTS,Female,0,6,Month-to-month,Electronic check,Fiber optic,No,No,90.1,521.3,Yes
6969-MVBAI,Female,1,9,Month-to-month,Electronic check,Fiber optic,No,No,90.1,816.8,No
4228-ZGYUW,Male,0,4,Month-to-month,Electronic check,Fiber optic,No,No,90.05,368.1,Yes
3703-VAVCL,Male,0,2,Month-to-month,Credit card (automatic),Fiber optic,Yes,No,90.0,190.05,Yes
3027-ZTDHO,Male,0,1,Month-to-month,Electronic check,Fiber optic,No,No,89.9,89.9,Yes
3071-VBYPO,Male,0,3,Month-to-month,Electronic check,Fiber optic,No,Yes,89.85,248.4,No
7952-OBOYL,Male,0,3,Month-to-month,Mailed check,Fiber optic,Yes,No,89.85,244.45,No
1624-NALOJ,Male,1,5,Month-to-month,Electronic check,Fiber optic,No,No,89.8,502.6,Yes
8337-UPOAQ,Male,1,10,Month-to-month,Electronic check,Fiber optic,No,No,89.8,914.3,Yes
3462-BJQQA,Female,0,6,Month-to-month,Electronic check,Fiber optic,No,No,89.75,552.65,No
1522-VVDMG,Male,0,7,Month-to-month,Electronic check,Fiber optic,Yes,No,89.75,608.8,Yes
8999-BOHSE,Female,1,11,Month-to-month,Bank transfer (automatic),Fiber optic,No,No,89.7,1047.7,Yes
9565-DJPIB,Female,0,4,Month-to-month,Mailed check,Fiber optic,No,No,89.6,365.65,Yes
0970-ETWGE,Male,0,1,Month-to-month,Electronic check,Fiber optic,No,No,89.55,89.55,Yes
2074-GKOWZ,Male,0,2,Month-to-month,Bank transfer (automatic),Fiber optic,No,No,89.55,185.55,Yes
5644-PDMZC,Female,1,2,Month-to-month,Electronic check,Fiber optic,No,No,89.5,161.5,Yes
1724-BQUHA,Male,1,5,Month-to-month,Electronic check,Fiber optic,No,No,89.5,477.7,Yes
2990-HWIML,Female,0,6,Month-to-month,Electronic check,Fiber optic,No,No,89.5,573.3,Yes
9134-CEQMF,Male,1,7,Month-to-month,Electronic check,Fiber optic,No,No,89.5,676.7,Yes
4112-LUEIZ,Male,0,10,Month-to-month,Electronic check,Fiber optic,No,No,89.5,863.1,Yes
9611-CTWIH,Female,0,3,Month-to-month,Electronic check,Fiber optic,No,No,89.45,240.45,Yes
7394-FKDNK,Female,0,9,Month-to-month,Electronic check,Fiber optic,No,No,89.45,853.1,Yes
4273-MBHYA,Female,0,1,Month-to-month,Electronic check,Fiber optic,No,No,89.35,89.35,No
8481-YYXWG,Female,0,5,Month-to-month,Electronic check,Fiber optic,Yes,No,89.35,461.7,Yes
4847-TAJYI,Female,1,6,Month-to-month,Electronic check,Fiber optic,No,No,89.35,567.8,No
7479-NITWS,Male,0,7,Month-to-month,Credit card (automatic),Fiber optic,No,No,89.35,631.85,Yes
1415-YFWLT,Female,1,1,Month-to-month,Electronic check,Fiber optic,No,No,89.3,89.3,Yes
0345-HKJVM,Female,0,6,Month-to-month,Electronic check,Fiber optic,No,No,89.3,577.6,Yes
7577-SWIFR,Male,0,1,Month-to-month,Electronic check,Fiber optic,No,No,89.25,89.25,No
8035-PWSEV,Female,0,6,Month-to-month,Electronic check,Fiber optic,Yes,No,89.25,487.05,No
2865-TCHJW,Female,1,4,Month-to-month,Electronic check,Fiber optic,No,No,89.2,346.2,Yes
1173-XZPYF,Female,0,11,Month-to-month,Electronic check,Fiber optic,No,No,89.2,990.3,No
3801-HMYNL,Male,0,1,Month-to-month,Mailed check,Fiber optic,No,No,89.15,89.15,Yes
4853-OITSN,Male,0,5,Month-to-month,Electronic check,Fiber optic,No,Yes,89.15,413.25,No
4115-NZRKS,Female,1,7,Month-to-month,Electronic check,Fiber optic,No,No,89.15,574.35,No
1455-ESIQH,Male,0,1,Month-to-month,Electronic check,Fiber optic,No,No,89.1,89.1,Yes
0187-QSXOE,Male,1,7,Month-to-month,Electronic check,Fiber optic,No,No,89.0,605.45,No
4951-UKAAQ,Female,0,4,Month-to-month,Electronic check,Fiber optic,No,No,88.95,355.2,Yes
5842-POCOP,Female,0,5,Month-to-month,Mailed check,Fiber optic,No,Yes,88.9,454.15,Yes
1273-MTETI,Female,1,4,Month-to-month,Electronic check,Fiber optic,No,No,88.85,372.45,Yes
2657-VPXTA,Female,0,10,Month-to-month,Electronic check,Fiber optic,No,No,88.85,929.45,No
3068-OMWZA,Male,1,1,Month-to-month,Electronic check,Fiber optic,No,No,88.8,88.8,Yes
4695-WJZUE,Female,1,2,Month-to-month,Electronic check,Fiber optic,No,No,88.55,179.25,Yes
7228-OMTPN,Male,0,4,Month-to-month,Electronic check,Fiber optic,No,No,88.45,370.65,Yes
4633-MKHYU,Female,0,9,Month-to-month,Mailed check,Fiber optic,No,No,88.4,788.6,No
3722-WPXTK,Male,0,1,Month-to-month,Electronic check,Fiber optic,No,No,88.35,88.35,Yes
0772-GYEQQ,Male,0,3,Month-to-month,Mailed check,Fiber optic,Yes,No,88.35,262.05,Yes
4184-TJFAN,Female,1,3,Month-to-month,Mailed check,Fiber optic,Yes,Yes,88.3,273.75,Yes
4123-DVHPH,Male,0,9,Month-to-month,Electronic check,Fiber optic,No,Yes,88.05,801.3,No
9741-YLNTD,Male,0,6,Month-to-month,Bank transfer (automatic),Fiber optic,Yes,No,87.95,522.35,No
5318-IXUZF,Female,0,2,Month-to-month,Bank transfer (automatic),Fiber optic,No,No,87.15,183.75,Yes
9430-FRQOC,Female,0,4,Month-to-month,Mailed check,Fiber optic,Yes,No,87.1,341.45,Yes
4884-ZTHVF,Female,1,8,Month-to-month,Electronic check,Fiber optic,No,No,87.1,713.6,No
6979-ZNSFF,Female,0,8,Month-to-month,Electronic check,Fiber optic,No,No,87.05,762.1,Yes
3097-NQYSN,Male,1,2,Month-to-month,Mailed check,Fiber optic,No,No,86.85,156.35,Yes
4140-MUHUG,Female,1,3,Month-to-month,Electronic check,Fiber optic,No,No,86.85,220.95,Yes
9451-LPGOO,Male,0,7,Month-to-month,Electronic check,Fiber optic,No,No,86.8,620.35,Yes
7779-LGOVN,Male,1,10,Month-to-month,Electronic check,Fiber optic,No,No,86.65,856.65,Yes
8603-IJWDN,Male,0,1,Month-to-month,Electronic check,Fiber optic,No,No,86.6,86.6,Yes
5229-PRWKT,Male,0,8,Month-to-month,Electronic check,Fiber optic,No,No,86.55,649.65,Yes
1925-TIBLE,Female,0,7,Month-to-month,Electronic check,Fiber optic,No,No,86.5,582.5,Yes
8861-HGGKB,Female,0,10,Month-to-month,Electronic check,Fiber optic,No,No,86.45,830.85,Yes
0133-BMFZO,Female,0,2,Month-to-month,Electronic check,Fiber optic,Yes,Yes,86.25,181.65,Yes
4285-GYRQC,Female,0,7,Month-to-month,Electronic check,Fiber optic,No,No,86.25,587.1,Yes
3914-FDRHP,Male,0,9,Month-to-month,Electronic check,Fiber optic,Yes,No,86.25,770.5,No
6275-YDUVO,Female,0,2,Month-to-month,Mailed check,Fiber optic,No,No,86.2,178.7,Yes
3797-FKOGQ,Male,0,11,Month-to-month,Electronic check,Fiber optic,No,No,86.2,893.2,No
